nome_completo,filiacao_pai,filiacao_mae,data_nascimento,sexo,naturalidade,local_tirou_cidade,local_tirou_estado,estado_completo,data_emissao,validade_identidade,orgao_emissor,cpf
Enzo Lopes,Thales Siqueira,Ana Sophia Nunes,24/09/2006,F,Santos do Sul - AM,Cavalcante,SE,Estado de Sergipe,12/01/2013,12/01/2021,Instituto de Identificacao,031.950.021-61
Eduardo Caldeira,Thomas Jesus,Maria Fernanda Teixeira,06/11/2000,F,Sales Verde - AL,Gonçalves,PI,Estado do Piauí,07/06/2014,07/06/2019,Instituto de Identificacao / SSP PI,770.394.095-00
Julia Fogaça,Marcelo Cunha,Luana Rodrigues,01/05/1992,F,Cirino - MT,da Conceição da Serra,PR,Estado do Paraná,14/08/2018,14/08/2028,Instituto de Identificacao,343.065.898-79
Ana Júlia Castro,Asafe da Paz,Ana Sophia da Mota,04/04/1964,F,da Mota Grande - RR,da Mota do Oeste,RR,Estado de Roraima,13/10/2020,13/10/2025,Instituto de Identificacao,744.592.668-94
Vitória Guerra,Diego Cavalcante,Stella da Cunha,21/08/1972,F,Caldeira - MG,Barbosa,RS,Estado do Rio Grande do Sul,26/10/2023,26/10/2031,Instituto de Identificacao / SSP RS,394.827.990-64
Caio Vargas,Diego Vasconcelos,Cecilia Gonçalves,14/05/1960,F,Alves da Praia - MG,Viana Grande,RR,Estado de Roraima,13/05/2019,13/05/2025,Instituto de Identificacao / PC RR,231.217.871-00
Otávio Silva,Erick das Neves,Maria Júlia Carvalho,09/07/1943,M,Araújo do Galho - PR,Rodrigues de Minas,AP,Estado do Amapá,04/08/2025,04/08/2033,Instituto de Identificacao / SSP AP,691.642.920-35
Enzo Costa,Eduardo da Rosa,Luna Aparecida,10/03/1979,M,Campos do Amparo - PI,Pastor,RR,Estado de Roraima,19/12/2024,19/12/2032,Instituto de Identificacao,949.593.120-52
Ana Júlia Araújo,Benjamim Brito,Yasmin Moreira,24/02/2014,F,Vasconcelos da Mata - AC,Camargo de Caldeira,AL,Estado de Alagoas,01/11/2022,01/11/2029,Instituto de Identificacao,719.339.235-02
Maria Laura Aragão,Ian Castro,Maria Eduarda Cavalcante,22/04/1995,F,Gonçalves - RJ,Rezende,AM,Estado do Amazonas,01/06/2014,01/06/2020,Instituto de Identificacao,805.999.081-56
Yan Viana,José Teixeira,Ana Julia Pinto,22/07/2010,M,Oliveira dos Dourados - MA,Camargo de Barros,RO,Estado de Rondônia,03/07/2011,03/07/2019,Instituto de Identificacao,881.576.325-30
Maria Cecília Mendonça,Guilherme Farias,Maria Laura Martins,31/03/1978,F,Moreira das Pedras - RO,Souza dos Dourados,PR,Estado do Paraná,25/12/2023,25/12/2033,Instituto de Identificacao / PC PR,886.016.384-60
Gabriel Rocha,Paulo Cavalcanti,Mariah Lopes,03/07/1981,F,Sousa - AL,Moura do Campo,AL,Estado de Alagoas,16/05/2013,16/05/2023,Instituto de Identificacao / SSP AL,298.383.729-34
Anthony Gabriel Leão,Benicio Lopes,Emanuella Gonçalves,05/10/2004,M,da Cruz - RS,Fogaça,TO,Estado do Tocantins,01/03/2018,01/03/2023,Instituto de Identificacao,085.316.380-50
Guilherme Santos,Cauã Fogaça,Maria Alice Siqueira,03/07/2007,F,Cassiano do Oeste - ES,Aparecida,PI,Estado do Piauí,24/07/2024,24/07/2030,Instituto de Identificacao,983.988.726-76
Rebeca Moura,Matheus Pimenta,Amanda Pimenta,10/01/1943,F,Araújo - PI,das Neves,RO,Estado de Rondônia,30/08/2011,30/08/2017,Instituto de Identificacao,206.279.342-39
Enzo Ramos,Leonardo Mendes,Ana Clara Garcia,09/02/1946,F,Pimenta de Pastor - MA,Peixoto do Oeste,AM,Estado do Amazonas,09/02/2020,09/02/2026,Instituto de Identificacao / SSP AM,620.776.824-62
Luiz Henrique Cardoso,Theodoro Pinto,Maria Laura Brito,07/07/1991,M,Araújo do Norte - GO,da Conceição de Minas,CE,Estado do Ceará,05/04/2022,05/04/2027,Instituto de Identificacao,710.964.101-14
Diego Cassiano,João Felipe Pastor,Emilly Lima,19/05/1972,M,Siqueira - MA,Viana de da Cunha,ES,Estado do Espírito Santo,23/07/2018,23/07/2024,Instituto de Identificacao,239.170.399-51
Diogo Ramos,João Lucas Santos,Sarah Mendonça,17/03/2001,F,da Cruz - PA,Sá do Norte,MG,Estado de Minas Gerais,08/03/2019,08/03/2024,Instituto de Identificacao / PC MG,710.380.812-83
Bella Vieira,Pedro Miguel Dias,Isadora Nogueira,30/08/2003,M,Moraes - AC,Monteiro de Pires,PB,Estado da Paraíba,28/09/2025,28/09/2034,Instituto de Identificacao / SSP PB,304.088.981-53
Ana Lívia Ramos,Matteo Rocha,Clarice Marques,20/10/1973,M,Azevedo - BA,Santos,MS,Estado de Mato Grosso do Sul,01/10/2022,01/10/2031,Instituto de Identificacao / PC MS,563.790.678-14
Gustavo Sampaio,Luigi Moraes,Lavínia Martins,14/04/1983,M,Abreu - ES,das Neves,BA,Estado da Bahia,18/12/2012,18/12/2020,Instituto de Identificacao,552.530.155-32
Bella Pires,Thomas Guerra,Giovanna da Cunha,28/04/1988,M,Monteiro - RS,Carvalho Paulista,RS,Estado do Rio Grande do Sul,15/09/2024,15/09/2031,Instituto de Identificacao,359.267.451-82
Mathias Vasconcelos,Théo Nogueira,Natália Sousa,24/01/1979,F,da Rosa - DF,Andrade da Serra,RR,Estado de Roraima,19/10/2016,19/10/2026,Instituto de Identificacao,615.038.029-80
Theodoro Fogaça,Henry Gabriel Vieira,Ana Laura Teixeira,26/12/1938,F,Rezende de Duarte - PR,Rodrigues Alegre,TO,Estado do Tocantins,12/09/2021,12/09/2029,Instituto de Identificacao,978.044.224-03
Mathias Viana,João Lucas Aragão,Giovanna da Mata,19/08/1985,F,Mendes - RJ,Correia de Câmara,MA,Estado do Maranhão,12/11/2022,12/11/2032,Instituto de Identificacao / PC MA,977.194.902-47
Anthony Gabriel Novais,Luan Rocha,Aylla da Conceição,21/10/2017,M,Borges de da Cruz - BA,Sousa do Oeste,MT,Estado de Mato Grosso,07/06/2025,07/06/2031,Instituto de Identificacao / SSP MT,794.183.674-76
Rebeca Leão,Matheus Lima,Maria Liz Pimenta,20/09/2014,F,Borges do Oeste - RS,Vasconcelos,BA,Estado da Bahia,12/11/2014,12/11/2019,Instituto de Identificacao / SSP BA,276.950.252-76
Luísa Pereira,Luan Correia,Manuela Rodrigues,03/04/1962,M,Pinto Alegre - SE,Gonçalves do Campo,MG,Estado de Minas Gerais,12/07/2011,12/07/2020,Instituto de Identificacao,246.394.765-09
Murilo Caldeira,Francisco Novais,Alice Machado,09/11/2022,F,Monteiro - MG,Freitas dos Dourados,PA,Estado do Pará,01/12/2024,01/12/2032,Instituto de Identificacao,998.797.489-27
Nina Rios,Heitor Cavalcante,Hellena Duarte,30/07/1990,F,Nascimento do Campo - SC,Lima,RO,Estado de Rondônia,06/10/2011,06/10/2020,Instituto de Identificacao / PC RO,914.746.987-00
Bárbara Pimenta,Leonardo Siqueira,Júlia Montenegro,23/06/1981,F,Melo - GO,Marques,SC,Estado de Santa Catarina,07/06/2019,07/06/2029,Instituto de Identificacao,501.671.717-89
Ana Julia Aparecida,Dom da Cunha,Bruna Viana,01/04/2002,M,da Mata - SP,Rezende Verde,AM,Estado do Amazonas,01/12/2016,01/12/2021,Instituto de Identificacao,178.140.603-83
Sabrina Moreira,Calebe Castro,Esther da Cunha,29/01/1994,M,da Rocha - AL,Mendonça de Aparecida,PR,Estado do Paraná,19/06/2019,19/06/2025,Instituto de Identificacao / PC PR,416.391.791-53
Théo Cirino,Bruno Fernandes,Sofia Silveira,16/08/1981,F,Cardoso Verde - SP,Fogaça,SP,Estado de São Paulo,13/01/2025,13/01/2033,Instituto de Identificacao,288.949.391-01
Luiz Gustavo Vasconcelos,Lorenzo Sousa,Liz da Rosa,21/03/1962,F,Vargas - AL,Moreira,AM,Estado do Amazonas,10/12/2020,10/12/2025,Instituto de Identificacao / SSP AM,747.584.909-92
Manuella Pimenta,Ryan das Neves,Esther Novaes,06/02/2012,M,Freitas Paulista - SP,Leão,MG,Estado de Minas Gerais,21/12/2020,21/12/2029,Instituto de Identificacao / SSP MG,539.551.997-01
Nicolas da Mota,Pedro Pimenta,Allana Sá,08/05/1992,M,Pimenta do Amparo - PE,da Conceição de Fernandes,MG,Estado de Minas Gerais,22/05/2013,22/05/2023,Instituto de Identificacao / SSP MG,502.766.267-73
Alexandre Porto,Alexandre Rios,Maria Julia Casa Grande,04/04/1976,M,Borges - AC,da Paz,RR,Estado de Roraima,21/10/2023,21/10/2028,Instituto de Identificacao,416.763.985-26
Marina Cassiano,Raul Rocha,Ana Clara Rodrigues,21/08/1952,F,Fogaça do Norte - MT,Sampaio,RO,Estado de Rondônia,23/11/2018,23/11/2028,Instituto de Identificacao,716.671.385-20
Stella Macedo,Rael Nunes,Giovanna Viana,23/11/2014,F,Silveira - MT,Pinto,AM,Estado do Amazonas,10/10/2018,10/10/2024,Instituto de Identificacao,705.852.342-08
Vitor Hugo da Rosa,Dante Moraes,Ana Julia Macedo,21/02/2018,F,Garcia do Oeste - RO,Cavalcanti,MS,Estado de Mato Grosso do Sul,09/12/2024,09/12/2029,Instituto de Identificacao,744.791.686-02
Cauã Cardoso,Gael Martins,Ana Lívia da Cunha,09/11/1984,F,Nunes da Prata - PA,Guerra,SE,Estado de Sergipe,11/10/2013,11/10/2018,Instituto de Identificacao / SSP SE,024.315.131-22
Kamilly da Rosa,João Miguel da Mata,Cecilia Farias,30/11/1941,F,Brito de Cassiano - AM,Dias do Campo,PE,Estado de Pernambuco,07/11/2012,07/11/2022,Instituto de Identificacao / PC PE,341.750.802-63
Antonella Souza,Benicio Teixeira,Juliana Gonçalves,06/03/2014,F,Vasconcelos Verde - PI,Borges do Norte,MA,Estado do Maranhão,12/08/2012,12/08/2022,Instituto de Identificacao,167.094.206-89
Cecilia Montenegro,Davi Lucas Costa,Luiza Silva,21/09/1967,M,Duarte de Gonçalves - AC,da Conceição,PR,Estado do Paraná,13/06/2014,13/06/2019,Instituto de Identificacao / PC PR,286.069.300-09
Lucca Vargas,Lucas Gabriel Viana,Kamilly Duarte,08/03/1946,M,da Luz da Praia - AC,Ferreira das Flores,TO,Estado do Tocantins,03/09/2020,03/09/2028,Instituto de Identificacao / PC TO,440.028.184-01
Carlos Eduardo Vieira,Yan Alves,Milena Costela,25/10/2020,M,Silveira - PB,da Rocha Grande,ES,Estado do Espírito Santo,21/09/2024,21/09/2030,Instituto de Identificacao / SSP ES,761.882.871-07
Cecilia Mendonça,Yuri Moraes,Ana Viana,09/07/2023,M,Barbosa - AP,Pastor de Peixoto,AC,Estado do Acre,15/03/2024,15/03/2030,Instituto de Identificacao / SSP AC,850.029.182-89
Cecilia Moreira,João Felipe Rezende,Sophie Araújo,23/05/1980,M,Borges - RR,Farias,TO,Estado do Tocantins,25/09/2022,25/09/2032,Instituto de Identificacao / SSP TO,187.511.172-70
Benjamin Araújo,Enzo Marques,Sofia Santos,21/08/1987,M,Dias do Amparo - MG,Melo de Minas,MS,Estado de Mato Grosso do Sul,21/07/2011,21/07/2020,Instituto de Identificacao / SSP MS,990.618.197-04
Diego Moraes,Marcelo Moura,Caroline Macedo,21/08/1938,M,Moreira de Campos - AL,Fernandes,MA,Estado do Maranhão,07/05/2014,07/05/2020,Instituto de Identificacao,379.584.613-99
Lara Ramos,Thiago Cavalcante,Julia Porto,22/01/2020,F,Rocha - PA,Rocha do Amparo,RO,Estado de Rondônia,04/12/2019,04/12/2028,Instituto de Identificacao / SSP RO,860.245.491-65
Eduardo Farias,Pedro Ramos,Elisa Castro,07/06/2001,M,da Rosa - SC,da Cunha do Campo,RN,Estado do Rio Grande do Norte,07/11/2024,07/11/2032,Instituto de Identificacao,016.755.828-32
Joaquim Ribeiro,Heitor da Costa,Aurora da Mota,12/11/2009,F,Gonçalves - PI,Pires de Teixeira,PI,Estado do Piauí,04/12/2018,04/12/2025,Instituto de Identificacao,392.243.850-78
Manuella da Conceição,João Lucas Camargo,Emilly Marques,12/05/2007,M,da Paz - MS,Jesus dos Dourados,PB,Estado da Paraíba,14/10/2020,14/10/2030,Instituto de Identificacao,401.619.901-62
Caleb Rocha,João Vitor Ribeiro,Stella Freitas,31/08/1958,M,Martins do Norte - MT,Gonçalves,RO,Estado de Rondônia,24/07/2021,24/07/2030,Instituto de Identificacao / SSP RO,162.675.090-78
Clarice Porto,João Guilherme Ribeiro,Isadora da Cunha,10/11/1970,F,Mendonça - DF,Pires da Mata,PI,Estado do Piauí,12/02/2023,12/02/2029,Instituto de Identificacao / PC PI,665.957.084-05
Ana Júlia Nascimento,João Felipe Oliveira,Maria Luísa Oliveira,29/08/1936,M,Cunha - MS,Caldeira da Praia,PI,Estado do Piauí,24/12/2010,24/12/2017,Instituto de Identificacao,031.230.754-68
Pedro Henrique Pires,João Alves,Alícia Rezende,03/01/1984,F,Fonseca Alegre - PB,Pereira de Novaes,PE,Estado de Pernambuco,03/02/2012,03/02/2017,Instituto de Identificacao,578.595.187-80
Júlia Carvalho,João Pedro Cavalcanti,Mariana Rezende,05/09/2001,M,Martins de Pereira - AP,Jesus,RO,Estado de Rondônia,27/05/2023,27/05/2032,Instituto de Identificacao,922.125.291-40
Danilo Casa Grande,Matheus Novais,Ana Júlia Barros,15/01/1983,M,Correia - ES,Pinto de Nunes,GO,Estado de Goiás,20/01/2013,20/01/2021,Instituto de Identificacao,768.251.074-54
Arthur Miguel Cirino,Léo Aparecida,Aylla da Mata,24/01/1969,F,Pereira - RJ,Pires,GO,Estado de Goiás,19/07/2018,19/07/2023,Instituto de Identificacao / PC GO,661.024.436-61
Caio da Luz,Gael Guerra,Raquel Caldeira,08/11/2013,M,Freitas - SC,Rodrigues,DF,Distrito Federal,18/09/2021,18/09/2028,Instituto de Identificacao,471.737.946-67
Eloá Sá,Francisco Cavalcanti,Luiza Rezende,07/01/2022,F,Moreira de Lima - ES,da Paz,PA,Estado do Pará,22/10/2013,22/10/2018,Instituto de Identificacao / SSP PA,808.989.090-03
Maria Helena Pinto,Samuel Ramos,Larissa Borges,06/09/1995,F,Rocha do Galho - PA,Martins,MS,Estado de Mato Grosso do Sul,31/10/2015,31/10/2022,Instituto de Identificacao / SSP MS,329.801.148-07
Júlia Mendes,José Pedro Sampaio,Olivia Moura,30/10/1937,M,Campos - PR,Vieira do Amparo,PE,Estado de Pernambuco,08/09/2013,08/09/2021,Instituto de Identificacao,159.433.360-30
Eloah da Costa,Calebe Siqueira,Maria Peixoto,27/02/1983,F,Guerra - SC,da Conceição da Praia,AC,Estado do Acre,15/01/2012,15/01/2017,Instituto de Identificacao,580.362.459-22
João Felipe Gomes,Rhavi Dias,Ana Carolina da Luz,15/10/2016,M,Ribeiro do Oeste - AM,Araújo Verde,TO,Estado do Tocantins,01/01/2024,01/01/2030,Instituto de Identificacao,580.019.327-69
Julia Rezende,Raul Moreira,Alice Silva,12/09/2010,M,Leão - PI,Marques Grande,MT,Estado de Mato Grosso,15/01/2023,15/01/2028,Instituto de Identificacao / SSP MT,936.209.929-76
Ana Julia Pastor,Luigi Caldeira,Heloisa Araújo,23/11/2018,F,Leão - RS,Gonçalves,SE,Estado de Sergipe,09/03/2022,09/03/2032,Instituto de Identificacao,502.505.114-30
Théo Leão,Nathan Pimenta,Ana Lívia da Paz,14/01/1965,M,Pastor - CE,Macedo de Goiás,PR,Estado do Paraná,17/04/2018,17/04/2024,Instituto de Identificacao,526.634.206-50
Ryan Moura,Luigi Aparecida,Antonella Porto,15/08/1937,M,Viana do Campo - PA,Gonçalves,AL,Estado de Alagoas,27/12/2021,27/12/2027,Instituto de Identificacao / SSP AL,306.313.337-64
Maria Eduarda Santos,Ryan Cassiano,Daniela Lima,30/04/2007,M,Macedo Verde - RO,Mendes de Cassiano,MG,Estado de Minas Gerais,11/09/2013,11/09/2022,Instituto de Identificacao / PC MG,065.136.899-88
Evelyn Macedo,Henry Correia,Maria Isis Sousa,19/09/1978,F,Araújo de da Cunha - TO,da Costa,RR,Estado de Roraima,04/07/2014,04/07/2019,Instituto de Identificacao / PC RR,499.068.905-04
Brenda Pires,José Miguel Mendonça,Maria Fernanda Azevedo,27/12/2014,F,Melo de Barbosa - MA,Gonçalves Grande,RO,Estado de Rondônia,30/05/2014,30/05/2022,Instituto de Identificacao / PC RO,784.311.756-12
Ian Viana,Thomas Montenegro,Maya Pereira,12/12/1937,F,Nogueira - AL,Vieira dos Dourados,AL,Estado de Alagoas,08/06/2018,08/06/2027,Instituto de Identificacao / PC AL,036.122.856-20
Caroline Santos,Yago Melo,Emanuella Costela,12/06/1992,M,Cavalcanti dos Dourados - RS,Cirino do Norte,TO,Estado do Tocantins,23/01/2012,23/01/2022,Instituto de Identificacao / PC TO,441.346.781-16
Valentina Azevedo,Asafe Nunes,Isabella Farias,28/11/1969,F,Lopes Alegre - PR,Santos,PR,Estado do Paraná,14/06/2025,14/06/2030,Instituto de Identificacao / SSP PR,959.095.079-32
Levi Cassiano,Bernardo Sá,Giovanna da Cunha,16/07/1958,F,Cardoso da Praia - RS,Albuquerque da Prata,CE,Estado do Ceará,14/11/2021,14/11/2029,Instituto de Identificacao,059.577.177-07
João Felipe Souza,Vitor Gabriel Souza,Melina Rezende,27/10/1942,F,Sousa - BA,Borges de Goiás,MG,Estado de Minas Gerais,19/02/2011,19/02/2021,Instituto de Identificacao,139.897.144-08
Maria Isis Fogaça,Joaquim Vargas,Lorena Souza,02/09/1986,M,Silva da Serra - MA,Costa,BA,Estado da Bahia,07/11/2019,07/11/2025,Instituto de Identificacao / PC BA,536.326.217-99
Melissa Fonseca,Matteo Pinto,Raquel Cunha,31/01/1939,F,Freitas de Goiás - RR,Lima da Mata,RO,Estado de Rondônia,31/07/2025,31/07/2032,Instituto de Identificacao,228.083.914-17
Vitória Novais,Marcos Vinicius da Rocha,Ana Julia Teixeira,20/04/1995,F,da Cunha - RJ,da Cunha,TO,Estado do Tocantins,02/05/2014,02/05/2024,Instituto de Identificacao / SSP TO,605.973.002-61
Pietro Cavalcanti,Asafe Albuquerque,Lara Farias,04/10/2010,F,Moreira do Galho - PR,Costa,ES,Estado do Espírito Santo,08/02/2020,08/02/2027,Instituto de Identificacao / SSP ES,053.847.482-03
Arthur Novaes,João Gabriel Casa Grande,Luara Aparecida,18/11/1979,F,Pastor - PR,Moreira,ES,Estado do Espírito Santo,19/09/2016,19/09/2026,Instituto de Identificacao / SSP ES,901.476.862-01
Luiz Miguel Ferreira,Lucca Campos,Yasmin Fernandes,24/12/1951,M,Moreira - RJ,Mendes das Pedras,BA,Estado da Bahia,16/12/2021,16/12/2027,Instituto de Identificacao / SSP BA,082.518.984-60
Heitor Dias,Luiz Otávio das Neves,Milena Vieira,03/02/1978,M,Mendonça Alegre - PB,Marques,PI,Estado do Piauí,14/04/2021,14/04/2031,Instituto de Identificacao / PC PI,732.993.796-70
Valentim Garcia,Thomas Carvalho,Maria Luiza Macedo,03/07/1938,M,da Luz - RO,Casa Grande,RJ,Estado do Rio de Janeiro,21/05/2024,21/05/2031,Instituto de Identificacao / PC RJ,280.745.652-45
Maria Cecília Rios,Thiago Macedo,Ana Júlia Camargo,23/07/1940,M,Cardoso Alegre - TO,Rios de Ramos,SC,Estado de Santa Catarina,26/04/2019,26/04/2028,Instituto de Identificacao,189.803.396-28
Henry Gabriel Cunha,João Guilherme Moraes,Ester da Conceição,22/07/1944,M,da Rocha Verde - MT,da Mota,MA,Estado do Maranhão,19/08/2021,19/08/2028,Instituto de Identificacao / PC MA,749.486.948-87
Bryan Cavalcanti,Luigi Novaes,Maria Julia Silveira,11/11/1957,M,Albuquerque - PA,Camargo,DF,Distrito Federal,01/03/2012,01/03/2018,Instituto de Identificacao / PC DF,092.253.492-98
Lavínia Gomes,Valentim Gonçalves,Juliana Andrade,08/10/2005,M,Rios das Flores - TO,Fernandes,SC,Estado de Santa Catarina,12/08/2023,12/08/2029,Instituto de Identificacao / SSP SC,974.853.406-79
Caleb Andrade,Fernando Martins,Vitória Jesus,23/04/1982,M,Castro - DF,Rocha,BA,Estado da Bahia,29/12/2019,29/12/2025,Instituto de Identificacao,270.112.409-77
Heitor Nunes,Arthur Gabriel Machado,Melissa Vargas,19/05/1973,F,Mendonça - ES,Camargo de Fonseca,RS,Estado do Rio Grande do Sul,31/08/2014,31/08/2021,Instituto de Identificacao,483.655.220-89
Isis da Conceição,Pedro Caldeira,Clarice da Rocha,28/05/2018,M,Porto de Aragão - ES,Farias da Praia,PB,Estado da Paraíba,04/09/2013,04/09/2019,Instituto de Identificacao / SSP PB,121.318.796-06
Alexandre Vargas,Kaique Martins,Lara da Costa,30/05/1972,F,Teixeira de das Neves - AP,Sales,DF,Distrito Federal,05/11/2016,05/11/2023,Instituto de Identificacao,210.237.847-10
Gael Henrique Melo,Matheus da Cruz,Isis Costa,22/09/1995,F,Fogaça de Nunes - SE,da Mata dos Dourados,AP,Estado do Amapá,26/06/2014,26/06/2023,Instituto de Identificacao / PC AP,316.185.016-32
Davi Lucca Vargas,Kaique Moura,Heloisa Fonseca,02/11/2001,M,Farias - PB,Aparecida,CE,Estado do Ceará,15/05/2025,15/05/2031,Instituto de Identificacao,971.219.834-00
Paulo Rodrigues,Valentim Novais,Natália Sales,09/03/1992,M,Cassiano - CE,Melo,BA,Estado da Bahia,16/05/2013,16/05/2020,Instituto de Identificacao / PC BA,874.545.127-21
Maria Alice Gomes,Leonardo Araújo,Giovanna Pinto,11/03/1956,F,Costa da Praia - RR,Cirino da Serra,RO,Estado de Rondônia,04/01/2021,04/01/2027,Instituto de Identificacao,203.064.915-23
Augusto Rocha,Luigi Mendonça,Valentina da Rosa,21/05/1944,M,Andrade - SP,Mendes,RN,Estado do Rio Grande do Norte,23/09/2013,23/09/2022,Instituto de Identificacao / PC RN,586.378.271-78
Enzo Gabriel Mendes,Juan Pinto,Stephany Pires,16/12/1951,M,Correia da Mata - SP,Vargas,GO,Estado de Goiás,15/06/2025,15/06/2034,Instituto de Identificacao,096.232.554-98
Otto Leão,Kevin da Costa,Milena Lima,01/07/2020,F,Fonseca de Marques - SC,Cassiano de Minas,PR,Estado do Paraná,30/03/2021,30/03/2028,Instituto de Identificacao,267.500.248-90
Joaquim Alves,Vitor Gabriel da Paz,Ana Liz Pinto,08/12/1939,F,Carvalho - SP,Fonseca do Norte,SP,Estado de São Paulo,15/01/2020,15/01/2030,Instituto de Identificacao,865.195.314-12
Brayan Gomes,Asafe Sá,Sarah Moreira,13/02/1996,F,Mendes - AC,Siqueira do Oeste,DF,Distrito Federal,07/05/2017,07/05/2023,Instituto de Identificacao,024.251.590-35
Thiago Costela,Leonardo Cassiano,Ana Luiza da Rocha,14/07/2017,M,Mendonça de Mendes - RO,Azevedo Alegre,CE,Estado do Ceará,04/01/2013,04/01/2019,Instituto de Identificacao / SSP CE,927.978.757-35
Maria Sophia Abreu,Diego Ramos,Mariane Sousa,25/06/1936,M,Sá das Flores - GO,Sampaio,GO,Estado de Goiás,07/12/2016,07/12/2023,Instituto de Identificacao / PC GO,860.503.308-80
Dante Siqueira,Rafael Barros,Elisa Cavalcanti,08/11/1980,F,Vasconcelos Grande - MA,Moreira,TO,Estado do Tocantins,23/06/2014,23/06/2020,Instituto de Identificacao / PC TO,827.638.579-60
Maria Sá,Ravi Lucca Vargas,Ana Cecília Borges,25/06/2004,M,Pinto - MG,Costa,PR,Estado do Paraná,01/01/2014,01/01/2023,Instituto de Identificacao / PC PR,002.812.215-01
Bella da Mota,Isaque Nogueira,Eloá Macedo,19/01/1943,M,Almeida - SP,Barbosa dos Dourados,PE,Estado de Pernambuco,26/12/2022,26/12/2028,Instituto de Identificacao / SSP PE,002.062.764-05
Emilly Ramos,Vitor Hugo Pereira,Heloisa Nogueira,11/05/1994,F,da Costa - SP,Vieira,AC,Estado do Acre,18/04/2019,18/04/2026,Instituto de Identificacao / SSP AC,568.573.703-30
Heloísa Cardoso,Alexandre Aparecida,Mariane Sampaio,01/11/1997,F,Cirino - TO,Lopes,SP,Estado de São Paulo,29/06/2017,29/06/2023,Instituto de Identificacao,377.342.340-30
Clara Aparecida,Gael Henrique Aparecida,Ana Liz da Mota,10/10/1938,F,Pires do Galho - ES,Barbosa,SP,Estado de São Paulo,25/06/2024,25/06/2030,Instituto de Identificacao / SSP SP,118.142.795-36
Isabella Pinto,João Gabriel Cardoso,Ana Clara Pinto,25/04/1963,M,Rezende - PR,Câmara,MS,Estado de Mato Grosso do Sul,11/07/2021,11/07/2031,Instituto de Identificacao / PC MS,946.824.842-18
Erick Farias,Nathan Farias,Pietra Viana,21/05/1996,M,Cassiano Paulista - RJ,Alves,AC,Estado do Acre,14/12/2019,14/12/2028,Instituto de Identificacao,804.903.359-43
Pedro Miguel Marques,João Gabriel Siqueira,Anna Liz Pereira,13/09/1980,F,Leão dos Dourados - PR,Ferreira Alegre,PR,Estado do Paraná,16/08/2020,16/08/2026,Instituto de Identificacao / SSP PR,836.258.391-70
Ísis Andrade,Ian Barros,Jade Siqueira,10/09/1960,M,Brito - PE,Araújo,RJ,Estado do Rio de Janeiro,03/01/2021,03/01/2029,Instituto de Identificacao / SSP RJ,555.076.158-92
Ana Luiza Pereira,Gustavo Henrique Jesus,Helena Machado,19/07/1938,M,Pimenta - BA,Alves,SP,Estado de São Paulo,28/01/2017,28/01/2027,Instituto de Identificacao / PC SP,007.848.505-77
Arthur Miguel Almeida,Isaque Gonçalves,Yasmin Cassiano,03/12/2020,M,Nunes - MG,Ramos,PR,Estado do Paraná,26/01/2011,26/01/2018,Instituto de Identificacao / SSP PR,359.414.552-76
Rebeca Moraes,Alexandre Cavalcante,Ana Sophia da Mota,17/12/1955,M,Moura da Serra - SC,Rezende do Amparo,GO,Estado de Goiás,25/08/2025,25/08/2034,Instituto de Identificacao / PC GO,739.055.260-77
Breno Leão,Kevin Correia,Zoe Pimenta,04/09/1964,M,Abreu do Oeste - TO,Freitas,RO,Estado de Rondônia,01/05/2016,01/05/2022,Instituto de Identificacao,349.992.617-85
Sophie Fonseca,Juan Cirino,Luana Aragão,05/05/1982,F,Cavalcanti - TO,Santos,AM,Estado do Amazonas,13/07/2023,13/07/2032,Instituto de Identificacao,554.238.841-44
José Leão,Brayan Brito,Maria Luiza Pastor,16/01/1951,M,Ramos de Caldeira - MS,Leão,ES,Estado do Espírito Santo,13/04/2025,13/04/2034,Instituto de Identificacao / SSP ES,883.739.709-61
Liz da Rocha,Daniel da Luz,Isadora Ferreira,13/11/2012,M,Viana - GO,Abreu,PB,Estado da Paraíba,23/11/2022,23/11/2029,Instituto de Identificacao / SSP PB,320.876.033-61
Natália Moreira,Joaquim Porto,Marina das Neves,23/02/1999,M,Fonseca do Galho - RJ,Pastor,SP,Estado de São Paulo,13/04/2019,13/04/2028,Instituto de Identificacao,261.165.557-46
Anna Liz Lopes,Cauê Pimenta,Stella Santos,21/11/1942,F,Sá - MT,Moura,GO,Estado de Goiás,17/06/2022,17/06/2029,Instituto de Identificacao / SSP GO,858.669.947-74
Ana Clara Silveira,Benjamin Sousa,Vitória Freitas,07/05/1989,F,Fogaça - PR,Moura de Almeida,RN,Estado do Rio Grande do Norte,29/04/2015,29/04/2025,Instituto de Identificacao / SSP RN,601.410.149-07
Rael Pacheco,Lucca Viana,Bárbara das Neves,06/07/1982,M,Montenegro Verde - MS,Caldeira da Mata,PB,Estado da Paraíba,09/10/2018,09/10/2028,Instituto de Identificacao / SSP PB,772.420.230-86
Thiago Pires,Raul Garcia,Nina da Costa,18/05/1979,F,Marques da Mata - CE,Cavalcante Grande,PA,Estado do Pará,17/05/2021,17/05/2026,Instituto de Identificacao / SSP PA,575.062.426-27
